date,occasion,cup
01-01,New Year's Day (Japan),NEW YEAR CUP
01-02,National Science Fiction Day,SCIENCE FICTION CUP
01-03,National Chocolate Covered Cherry Day,CHERRY CUP
01-04,World Braille Day (UN),BRAILLE CUP
01-05,National Bird Day,BIRD CUP
01-06,National Take Down the Christmas Tree Day,CHRISTMAS TREE CUP
01-07,Nanakusa no Sekku (Japan),SEVEN HERBS CUP
01-08,World Typing Day,TYPING CUP
01-09,National Apricot Day,APRICOT CUP
01-10,National Bittersweet Chocolate Day,CHOCOLATE CUP
01-11,World Sketchnote Day,SKETCH CUP
01-12,National Hot Tea Day,HOT TEA CUP
01-13,National Sticker Day,STICKER CUP
01-14,International Kite Day,KITE CUP
01-15,National Hat Day,HAT CUP
01-16,National Quinoa Day,GRAIN CUP
01-17,National Classy Day,STYLE CUP
01-18,National Gourmet Coffee Day,GOURMET COFFEE CUP
01-19,International Day of Acceptance,FRIENDSHIP CUP
01-20,National Coffee Break Day,COFFEE BREAK CUP
01-21,National Hugging Day (US),HUG CUP
01-22,National Hot Sauce Day,SPICE CUP
01-23,National Pie Day,PIE CUP
01-24,National Compliment Day (US),KINDNESS CUP
01-25,National Irish Coffee Day,COFFEE CUP
01-26,International Customs Day (UN),TRAVEL CUP
01-27,National Chocolate Cake Day,CHOCOLATE CAKE CUP
01-28,National Kazoo Day,MUSIC CUP
01-29,National Puzzle Day (US),PUZZLE CUP
01-30,National Escape Day,ESCAPE CUP
01-31,National Hot Chocolate Day,HOT CHOCOLATE CUP
02-01,International Cake Pop Day,CAKE CUP
02-02,World Ukulele Day,UKULELE CUP
02-03,National Carrot Cake Day,CARROT CAKE CUP
02-04,National Hemp Day,PLANT CUP
02-05,National Chocolate Fondue Day,CHOCOLATE FONDUE CUP
02-06,National Chopsticks Day,CHOPSTICKS CUP
02-07,National Patty Melt Day,SANDWICH CUP
02-08,National Kite Flying Day,KITE FLYING CUP
02-09,National Pizza Day (US),PIZZA CUP
02-10,National Flannel Day,CLOTH CUP
02-11,International Day of Women and Girls in Science,SCIENCE CUP
02-12,"Darwin Day (international, Charles Darwin's birthday)",DARWIN CUP
02-13,World Radio Day (UN),RADIO CUP
02-14,International Book Giving Day,BOOK CUP
02-15,National Hippo Day,HIPPO CUP
02-16,International Syrah Day,GRAPE CUP
02-17,National Public Science Day,SCIENCE CUP
02-18,National Battery Day,BATTERY CUP
02-19,National Chocolate Mint Day,CHOCOLATE MINT CUP
02-20,World Day of Social Justice (UN),FAIRNESS CUP
02-21,International Mother Language Day (UN),LANGUAGE CUP
02-22,National Cook a Sweet Potato Day,SWEET POTATO CUP
02-23,International Dog Biscuit Appreciation Day,DOG CUP
02-24,World Bartender Day,COCKTAIL CUP
02-25,National Chocolate-Covered Peanuts Day,PEANUT CUP
02-26,National Pistachio Day,PISTACHIO CUP
02-27,World NGO Day (international),VOLUNTEER CUP
02-28,National Science Day,SCIENCE CUP
02-29,National Frog Legs Day,FROG CUP
03-01,World Compliment Day,KINDNESS CUP
03-02,International Rescue Cat Day,CAT CUP
03-03,Hinamatsuri (Japan),HINA DOLL CUP
03-04,National Pound Cake Day,CAKE CUP
03-05,National Poutine Day,POTATO CUP
03-06,National White Chocolate Cheesecake Day,CHEESECAKE CUP
03-07,National Cereal Day,CEREAL CUP
03-08,International Women's Day (UN),WOMEN'S CUP
03-09,National Crabmeat Day,CRAB CUP
03-10,International Lime Day,LIME CUP
03-11,World Plumbing Day,WATER CUP
03-12,National Milky Way Day,MILKY WAY CUP
03-13,National Jewel Day,JEWEL CUP
03-14,National Potato Chip Day,POTATO CHIP CUP
03-15,World Consumer Rights Day,SHOPPING CUP
03-16,National Panda Day,PANDA CUP
03-17,St. Patrick's Day,CLOVER CUP
03-18,National Lacy Oatmeal Cookie Day,COOKIE CUP
03-19,National Chocolate Caramel Day,CHOCOLATE CARAMEL CUP
03-20,International Day of Happiness,HAPPINESS CUP
03-21,National Flower Day,FLOWER CUP
03-22,World Water Day (UN),WATER CUP
03-23,World Meteorological Day (UN),WEATHER CUP
03-24,National Chocolate Covered Raisins Day,RAISIN CUP
03-25,International Waffle Day,WAFFLE CUP
03-26,National Nougat Day,CANDY CUP
03-27,World Theatre Day (international),THEATRE CUP
03-28,National Black Forest Cake Day,CHOCOLATE CAKE CUP
03-29,National Lemon Chiffon Cake Day,LEMON CAKE CUP
03-30,National Doctors Day,DOCTORS CUP
03-31,World Backup Day,BACKUP CUP
04-01,International Edible Book Festival,BOOK CUP
04-02,International Children's Book Day,PICTURE BOOK CUP
04-03,National Chocolate Mousse Day,CHOCOLATE MOUSSE CUP
04-04,World Rat Day,MOUSE CUP
04-05,National Deep Dish Pizza Day,PIZZA CUP
04-06,National Siamese Cat Day,CAT CUP
04-07,National Coffee Cake Day,CAKE CUP
04-08,International Romani Day,CULTURE CUP
04-09,National Chinese Almond Cookie Day,ALMOND CUP
04-10,National Hug Your Dog Day,DOG CUP
04-11,National Pet Day,PET CUP
04-12,International Day of Human Space Flight,SPACE CUP
04-13,National Peach Cobbler Day,PEACH CUP
04-14,National Dolphin Day,DOLPHIN CUP
04-15,World Art Day,ART CUP
04-16,International Pizza Cake Day,PIZZA CUP
04-17,International Haiku Poetry Day,HAIKU CUP
04-18,National Lineman Appreciation Day,ELECTRICITY CUP
04-19,Dutch-American Friendship Day,FRIENDSHIP CUP
04-20,National Pineapple Upside-down Cake Day,PINEAPPLE CAKE CUP
04-21,National Tea Day (UK),TEA CUP
04-22,Earth Day (international),EARTH CUP
04-23,World Book Day (UNESCO),BOOK CUP
04-24,National Pigs-in-a-Blanket Day,SAUSAGE CUP
04-25,World Penguin Day,PENGUIN CUP
04-26,National Pretzel Day,BREAD CUP
04-27,National Devil Dog Day,CAKE CUP
04-28,National Cubicle Day,OFFICE CUP
04-29,World Wish Day,WISH CUP
04-30,National Bubble Tea Day,BUBBLE TEA CUP
05-01,May Day,MAY DAY CUP
05-02,World Tuna Day,TUNA CUP
05-03,Constitution Memorial Day (Japan),CONSTITUTION CUP
05-04,Greenery Day (Japan),GREENERY CUP
05-05,Children's Day (Japan),CHILDREN CUP
05-06,International No Diet Day,NO DIET CUP
05-07,National Tourism Day,TOURISM CUP
05-08,National Student Nurses Day,NURSE CUP
05-09,National Butterscotch Brownie Day,BROWNIE CUP
05-10,National Lipid Day,HEALTH CUP
05-11,National Mocha Torte Day,MOCHA CUP
05-12,"International Nurses Day (UN, Florence Nightingale's birthday)",NURSES CUP
