date,cup,occasion
01-01,NEW YEAR CUP,New Year's Day (Japan)
01-03,CHERRY CUP,
01-04,TOUCH CUP,
01-07,SEVEN HERBS CUP,Nanakusa no Sekku (Japan)
01-10,CHOCOLATE CUP,
01-11,SKETCH CUP,
01-16,GRAIN CUP,
01-17,STYLE CUP,
01-19,FRIENDSHIP CUP,
01-21,HUG CUP,
01-22,SPICE CUP,
01-24,KINDNESS CUP,
01-25,COFFEE CUP,
01-26,TRAVEL CUP,
01-28,MUSIC CUP,
02-01,CAKE CUP,
02-04,PLANT CUP,
02-07,SANDWICH CUP,
02-10,CLOTH CUP,
02-14,BOOK CUP,
02-16,GRAPE CUP,
02-17,SCIENCE CUP,
02-20,FAIRNESS CUP,
02-21,LANGUAGE CUP,
02-22,SWEET POTATO CUP,
02-23,DOG CUP,
02-24,COCKTAIL CUP,
02-25,PEANUT CUP,
02-27,VOLUNTEER CUP,
02-29,FROG CUP,
03-01,KINDNESS CUP,
03-02,CAT CUP,
03-03,HINA DOLL CUP,Hinamatsuri (Japan)
03-04,CAKE CUP,
03-05,POTATO CUP,
03-06,CHEESECAKE CUP,
03-09,CRAB CUP,
03-11,WATER CUP,
03-15,SHOPPING CUP,
03-17,CLOVER CUP,
03-18,COOKIE CUP,
03-23,WEATHER CUP,
03-24,RAISIN CUP,
03-26,CANDY CUP,
03-28,CHOCOLATE CAKE CUP,
03-29,LEMON CAKE CUP,
04-01,BOOK CUP,
04-02,PICTURE BOOK CUP,
04-04,MOUSE CUP,
04-05,PIZZA CUP,
04-06,CAT CUP,
04-07,CAKE CUP,
04-08,CULTURE CUP,
04-09,ALMOND CUP,
04-10,DOG CUP,
04-12,SPACE CUP,
04-13,PEACH CUP,
04-16,PIZZA CUP,
04-17,HAIKU CUP,
04-18,ELECTRICITY CUP,
04-19,FRIENDSHIP CUP,
04-24,SAUSAGE CUP,
04-26,BREAD CUP,
04-27,CAKE CUP,
04-28,OFFICE CUP,
05-03,CONSTITUTION CUP,Constitution Memorial Day (Japan)
05-04,GREENERY CUP,Greenery Day (Japan)
05-05,CHILDREN CUP,Children's Day (Japan)
05-08,NURSE CUP,
05-10,HEALTH CUP,
05-11,MOCHA CUP,
05-14,BREAD CUP,
05-19,CHOCOLATE CAKE CUP,
05-22,FASHION CUP,
05-24,CROWN CUP,
05-28,BARBECUE CUP,
05-29,MOUNTAIN CUP,
06-01,CAKE CUP,
06-02,FRIENDSHIP CUP,
06-04,SAFETY CUP,
06-06,APPLE CAKE CUP,
06-09,HISTORY CUP,
06-11,CHOCOLATE CUP,
06-12,PEANUT COOKIE CUP,
06-14,DONATION CUP,
06-15,SMILE CUP,
06-17,CROCODILE CUP,
06-19,BIRD CUP,
06-23,PIZZA CUP,
06-25,FISH CUP,
06-28,FOOD CUP,
07-01,ICE CREAM CUP,
07-03,WAFER CUP,
07-04,MUSIC CUP,
07-05,WORK CUP,
07-06,LOVE CUP,
07-07,STAR CUP,Tanabata (Japan)
07-08,ICE CREAM CUP,
07-11,PEOPLE CUP,
07-12,SPICE CUP,
07-14,DIVERSITY CUP,
07-15,FRIENDSHIP CUP,
07-17,FAIRNESS CUP,
07-19,BERRY CAKE CUP,
07-21,SNACK CUP,
07-24,PLANT CUP,
07-25,FASHION CUP,
07-27,WHISKY CUP,
07-31,BERRY CAKE CUP,
08-01,WEB CUP,
